date,region,numtotal,numtested,numactive,numtoday,ratetested
2020-03-21,Prince Edward Island,2,75.0,2.0,0,478.0
2020-03-21,Northwest Territories,1,301.0,1.0,1,6715.0
2020-03-21,Canada,1371,88883.0,1353.0,367,2365.0
2020-03-22,British Columbia,424,22135.0,414.0,0,4365.0
2020-03-22,Alberta,259,26999.0,258.0,33,6176.0
2020-03-22,Saskatchewan,52,4407.0,52.0,8,3752.0
2020-03-22,Manitoba,19,3936.0,19.0,0,2874.0
2020-03-22,Ontario,425,28570.0,420.0,48,1961.0
2020-03-22,Quebec,221,8539.0,217.0,0,1006.0
2020-03-22,Newfoundland and Labrador,9,299.0,9.0,3,573.0
2020-03-22,New Brunswick,17,924.0,17.0,0,1189.0
2020-03-22,Nova Scotia,28,2210.0,28.0,7,2275.0
2020-03-22,Prince Edward Island,3,75.0,3.0,1,478.0
2020-03-22,Northwest Territories,1,301.0,1.0,0,6715.0
2020-03-22,Canada,1471,98824.0,1451.0,100,2629.0
2020-03-23,British Columbia,472,23460.0,459.0,48,4626.0
2020-03-23,Alberta,301,29757.0,300.0,42,6807.0
2020-03-23,Saskatchewan,66,5130.0,66.0,14,4368.0
2020-03-23,Manitoba,20,4133.0,20.0,1,3018.0
2020-03-23,Ontario,503,30688.0,497.0,78,2107.0
2020-03-23,Quebec,628,8539.0,624.0,407,1006.0
2020-03-23,Newfoundland and Labrador,24,894.0,24.0,15,1714.0
2020-03-23,New Brunswick,17,1139.0,17.0,0,1466.0
2020-03-23,Nova Scotia,41,2408.0,41.0,13,2479.0
2020-03-23,Prince Edward Island,3,206.0,3.0,0,1313.0
2020-03-23,Yukon,2,416.0,2.0,0,10183.0
2020-03-23,Northwest Territories,1,364.0,1.0,0,8120.0
2020-03-23,Canada,2091,107147.0,2067.0,620,2850.0
2020-03-24,British Columbia,617,26305.0,604.0,145,5187.0
2020-03-24,Alberta,358,32776.0,356.0,57,7498.0
2020-03-24,Saskatchewan,72,5604.0,72.0,6,4772.0
2020-03-24,Manitoba,21,4406.0,21.0,1,3217.0
2020-03-24,Ontario,588,34727.0,580.0,85,2384.0
2020-03-24,Quebec,1013,15071.0,1009.0,385,1776.0
2020-03-24,Newfoundland and Labrador,35,1087.0,35.0,11,2084.0
2020-03-24,New Brunswick,18,1261.0,18.0,1,1623.0
2020-03-24,Nova Scotia,51,2641.0,51.0,10,2719.0
2020-03-24,Prince Edward Island,3,206.0,3.0,0,1313.0
2020-03-24,Yukon,2,416.0,2.0,0,10183.0
2020-03-24,Northwest Territories,1,481.0,1.0,0,10730.0
2020-03-24,Canada,2792,125062.0,2765.0,701,3327.0
2020-03-25,British Columbia,659,28344.0,645.0,42,5589.0
2020-03-25,Alberta,419,35508.0,417.0,61,8123.0
2020-03-25,Saskatchewan,86,6111.0,86.0,14,5203.0
2020-03-25,Manitoba,35,4740.0,35.0,14,3461.0
2020-03-25,Ontario,688,38040.0,675.0,100,2611.0
2020-03-25,Quebec,1339,27828.0,1333.0,326,3280.0
2020-03-25,Newfoundland and Labrador,67,1235.0,67.0,32,2368.0
2020-03-25,New Brunswick,26,1680.0,26.0,8,2163.0
2020-03-25,Nova Scotia,68,3008.0,68.0,17,3097.0
2020-03-25,Prince Edward Island,5,301.0,5.0,2,1918.0
2020-03-25,Yukon,3,416.0,3.0,0,10183.0
2020-03-25,Northwest Territories,1,481.0,1.0,0,10730.0
2020-03-25,Canada,3409,147789.0,3374.0,617,3932.0
2020-03-26,British Columbia,725,30238.0,525.0,66,5963.0
2020-03-26,Alberta,486,36600.0,457.0,67,8373.0
2020-03-26,Saskatchewan,95,6729.0,92.0,9,5729.0
2020-03-26,Manitoba,36,5429.0,35.0,1,3964.0
2020-03-26,Ontario,858,41217.0,835.0,170,2830.0
2020-03-26,Quebec,1629,33311.0,1619.0,290,3926.0
2020-03-26,Newfoundland and Labrador,82,1447.0,82.0,15,2774.0
2020-03-26,New Brunswick,33,1849.0,33.0,7,2380.0
2020-03-26,Nova Scotia,73,3417.0,71.0,5,3518.0
2020-03-26,Prince Edward Island,9,353.0,8.0,4,2249.0
2020-03-26,Yukon,3,416.0,3.0,0,10183.0
2020-03-26,Northwest Territories,1,481.0,1.0,0,10730.0
2020-03-26,Canada,4043,161603.0,3774.0,634,4299.0
2020-03-27,British Columbia,725,31536.0,525.0,0,6218.0
2020-03-27,Alberta,542,38215.0,513.0,56,8742.0
2020-03-27,Saskatchewan,104,7360.0,101.0,9,6267.0
2020-03-27,Manitoba,39,6022.0,37.0,3,4397.0
2020-03-27,Ontario,993,43651.0,967.0,135,2997.0
2020-03-27,Quebec,2021,34356.0,1974.0,392,4049.0
2020-03-27,Newfoundland and Labrador,102,1684.0,102.0,20,3229.0
2020-03-27,New Brunswick,45,2179.0,44.0,12,2805.0
2020-03-27,Nova Scotia,90,3946.0,88.0,17,4062.0
2020-03-27,Prince Edward Island,11,422.0,10.0,2,2689.0
2020-03-27,Yukon,3,603.0,3.0,0,14760.0
2020-03-27,Northwest Territories,1,545.0,1.0,0,12158.0
2020-03-27,Canada,4689,170644.0,4380.0,646,4540.0
2020-03-28,British Columbia,884,31536.0,472.0,159,6218.0
2020-03-28,Alberta,542,38215.0,487.0,0,8742.0
2020-03-28,Saskatchewan,134,8009.0,131.0,30,6819.0
2020-03-28,Manitoba,64,6931.0,62.0,25,5061.0
2020-03-28,Ontario,993,45836.0,967.0,0,3147.0
2020-03-28,Quebec,2498,46087.0,2447.0,477,5432.0
2020-03-28,Newfoundland and Labrador,120,1907.0,116.0,18,3656.0
2020-03-28,New Brunswick,51,2512.0,49.0,6,3234.0
2020-03-28,Nova Scotia,110,4487.0,106.0,20,4619.0
2020-03-28,Prince Edward Island,11,422.0,10.0,0,2689.0
2020-03-28,Yukon,4,641.0,4.0,0,15690.0
2020-03-28,Northwest Territories,1,740.0,1.0,0,16508.0
2020-03-28,Canada,5425,187448.0,4864.0,736,4987.0
2020-03-29,British Columbia,884,33476.0,471.0,0,6601.0
2020-03-29,Alberta,621,44097.0,546.0,79,10088.0
2020-03-29,Saskatchewan,134,8822.0,130.0,0,7512.0
2020-03-29,Manitoba,72,7876.0,70.0,8,5751.0
2020-03-29,Ontario,1355,52002.0,1328.0,362,3570.0
2020-03-29,Quebec,2840,52204.0,2789.0,342,6153.0
2020-03-29,Newfoundland and Labrador,135,2107.0,131.0,15,4040.0
2020-03-29,New Brunswick,66,2847.0,64.0,15,3665.0
2020-03-29,Nova Scotia,122,4984.0,118.0,12,5131.0
2020-03-29,Prince Edward Island,11,477.0,10.0,0,3039.0
2020-03-29,Yukon,4,678.0,4.0,0,16596.0
2020-03-29,Northwest Territories,1,740.0,1.0,0,16508.0
2020-03-29,Canada,6258,210435.0,5675.0,833,5598.0
2020-03-30,British Columbia,960,34969.0,472.0,76,6895.0
2020-03-30,Alberta,690,46057.0,588.0,69,10536.0
2020-03-30,Saskatchewan,175,9372.0,159.0,41,7980.0
2020-03-30,Manitoba,96,8326.0,93.0,24,6080.0
2020-03-30,Ontario,1706,54112.0,1242.0,351,3715.0
2020-03-30,Quebec,3430,59715.0,3376.0,590,7038.0
2020-03-30,Newfoundland and Labrador,148,2332.0,140.0,13,4471.0
2020-03-30,New Brunswick,68,3267.0,66.0,2,4206.0
2020-03-30,Nova Scotia,127,5492.0,117.0,5,5654.0
2020-03-30,Prince Edward Island,18,477.0,17.0,7,3039.0
2020-03-30,Yukon,5,688.0,5.0,1,16840.0
2020-03-30,Northwest Territories,1,740.0,1.0,0,16508.0
2020-03-30,Canada,7437,225705.0,6280.0,1179,6005.0
2020-03-31,British Columbia,970,36024.0,444.0,10,7103.0
2020-03-31,Alberta,754,48692.0,625.0,64,11139.0
2020-03-31,Saskatchewan,184,9372.0,161.0,9,7980.0
2020-03-31,Manitoba,103,8629.0,98.0,7,6301.0
2020-03-31,Ontario,1966,55909.0,1399.0,260,3838.0
2020-03-31,Quebec,4162,67540.0,4102.0,732,7960.0
2020-03-31,Newfoundland and Labrador,152,2500.0,144.0,4,4793.0
2020-03-31,New Brunswick,70,3630.0,61.0,2,4673.0
2020-03-31,Nova Scotia,147,6614.0,137.0,20,6809.0
2020-03-31,Prince Edward Island,21,551.0,20.0,3,3511.0
2020-03-31,Yukon,5,702.0,5.0,0,17183.0
2020-03-31,Northwest Territories,1,808.0,1.0,0,18025.0
2020-03-31,Canada,8548,241138.0,7198.0,1111,6415.0
2020-04-01,British Columbia,1066,36364.0,435.0,96,7170.0
2020-04-01,Alberta,754,53141.0,603.0,0,12157.0
2020-04-01,Saskatchewan,193,10202.0,160.0,9,8687.0
2020-04-01,Manitoba,127,9811.0,122.0,24,7164.0
2020-04-01,Ontario,2392,61009.0,1666.0,426,4188.0
2020-04-01,Quebec,4611,69711.0,4549.0,449,8216.0
2020-04-01,Newfoundland and Labrador,175,2762.0,164.0,23,5296.0
2020-04-01,New Brunswick,81,4121.0,67.0,11,5305.0
2020-04-01,Nova Scotia,173,7405.0,162.0,26,7623.0
2020-04-01,Prince Edward Island,21,551.0,18.0,0,3511.0
2020-04-01,Yukon,5,722.0,2.0,0,17673.0
