date,driving,transit,walking,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-09-28,119.11,53.57,117.03,Canada,-16.0,-2.0,67.0,-47.0,-33.0,9.0,155301,7220108.0,13416.0,2176,192079.0
2020-09-29,121.92,53.75,120.46,Canada,-16.0,0.0,52.0,-48.0,-32.0,10.0,156961,7295024.0,13933.0,1660,194072.0
2020-09-30,122.41,52.39,116.27,Canada,-15.0,0.0,32.0,-47.0,-33.0,10.0,158758,7355960.0,14490.0,1797,195693.0
2020-10-01,126.43,52.79,120.95,Canada,-15.0,2.0,52.0,-47.0,-31.0,10.0,160535,7423052.0,14866.0,1777,197478.0
2020-10-02,140.63,55.94,135.72,Canada,-20.0,-3.0,36.0,-46.0,-30.0,11.0,162659,7490205.0,15636.0,2124,199264.0
2020-10-03,132.62,50.61,137.28,Canada,-16.0,0.0,83.0,-36.0,-6.0,5.0,164471,7563615.0,16142.0,1812,201217.0
2020-10-04,101.15,42.56,95.44,Canada,-16.0,-2.0,59.0,-41.0,-9.0,4.0,166156,7625793.0,16432.0,1685,202872.0
2020-10-05,114.47,51.53,111.54,Canada,-17.0,-1.0,53.0,-47.0,-33.0,10.0,168960,7695259.0,17122.0,2804,204720.0
2020-10-06,116.97,51.62,114.64,Canada,-18.0,1.0,57.0,-47.0,-32.0,10.0,171323,7825231.0,17799.0,2363,208177.0
2020-10-07,116.68,49.92,110.34,Canada,-20.0,-2.0,29.0,-49.0,-32.0,11.0,173123,7899256.0,17916.0,1800,210147.0
2020-10-08,124.39,50.88,115.67,Canada,-16.0,2.0,43.0,-47.0,-31.0,10.0,175559,7984582.0,18494.0,2436,212417.0
2020-10-09,142.94,52.48,130.36,Canada,-19.0,3.0,43.0,-46.0,-32.0,11.0,178117,8072318.0,19008.0,2558,214751.0
2020-10-10,119.13,45.56,118.43,Canada,-21.0,3.0,71.0,-39.0,-8.0,6.0,180179,8150945.0,19214.0,2062,216842.0
2020-10-11,91.42,37.05,89.43,Canada,-21.0,-2.0,81.0,-43.0,-10.0,3.0,181864,8218788.0,19032.0,1685,218647.0
2020-10-12,89.66,38.04,80.88,Canada,-43.0,-29.0,107.0,-66.0,-77.0,20.0,182839,8243089.0,18954.0,975,219294.0
2020-10-13,114.36,48.84,106.2,Canada,-22.0,-2.0,29.0,-49.0,-33.0,11.0,186881,8327756.0,19741.0,4042,221546.0
2020-10-14,117.8,49.79,115.55,Canada,-20.0,-2.0,45.0,-47.0,-32.0,11.0,189387,8419714.0,20372.0,2506,223993.0
2020-10-15,120.16,48.82,111.91,Canada,-20.0,-3.0,22.0,-49.0,-31.0,12.0,191732,8469789.0,20543.0,2345,225325.0
2020-10-16,133.45,51.5,126.87,Canada,-22.0,-4.0,14.0,-48.0,-30.0,12.0,194106,8558420.0,20740.0,2374,227683.0
2020-10-17,123.68,47.87,129.49,Canada,-18.0,-1.0,59.0,-38.0,-6.0,7.0,196321,8625475.0,21129.0,2215,229466.0
2020-10-18,94.54,40.15,91.66,Canada,-19.0,-5.0,45.0,-43.0,-9.0,6.0,198148,8679910.0,21276.0,1827,230915.0
2020-10-19,107.17,46.93,101.99,Canada,-22.0,-7.0,6.0,-51.0,-33.0,12.0,201437,8752279.0,21988.0,3289,232840.0
2020-10-20,111.42,48.01,108.23,Canada,-19.0,0.0,29.0,-49.0,-31.0,11.0,203688,8812267.0,22151.0,2251,234436.0
2020-10-21,110.88,46.79,105.25,Canada,-22.0,-4.0,12.0,-49.0,-31.0,12.0,206360,8873114.0,22783.0,2672,236054.0
2020-10-22,115.99,48.24,111.41,Canada,-19.0,-2.0,28.0,-47.0,-31.0,12.0,209148,8942196.0,23481.0,2788,237892.0
2020-10-23,135.4,52.85,131.19,Canada,-22.0,-5.0,41.0,-46.0,-31.0,12.0,211732,9015189.0,23965.0,2584,239834.0
2020-10-24,120.93,47.77,124.88,Canada,-19.0,0.0,36.0,-39.0,-6.0,7.0,213959,9075423.0,24401.0,2227,241437.0
2020-10-25,93.85,39.99,88.34,Canada,-18.0,-4.0,42.0,-42.0,-9.0,5.0,216104,9126431.0,24729.0,2145,242794.0
2020-10-26,105.92,46.85,100.66,Canada,-21.0,-7.0,5.0,-50.0,-32.0,12.0,220213,9173829.0,25934.0,4109,244055.0
2020-10-27,110.69,46.66,102.61,Canada,-22.0,-3.0,6.0,-49.0,-31.0,12.0,222887,9254718.0,26422.0,2674,246206.0
2020-10-28,112.67,47.42,107.17,Canada,-19.0,-1.0,17.0,-47.0,-30.0,11.0,225586,9310390.0,26687.0,2699,247687.0
2020-10-29,116.46,48.48,108.73,Canada,-17.0,0.0,8.0,-49.0,-30.0,11.0,228542,9373532.0,27259.0,2956,249367.0
2020-10-30,131.12,50.72,124.76,Canada,-20.0,1.0,2.0,-47.0,-29.0,11.0,231999,9436375.0,27952.0,3457,251039.0
2020-10-31,113.79,46.93,128.16,Canada,-19.0,4.0,36.0,-35.0,-5.0,6.0,235444,9501937.0,29432.0,3445,252783.0
2020-11-01,85.03,39.02,83.82,Canada,-21.0,-5.0,8.0,-44.0,-11.0,6.0,238688,9548758.0,30780.0,3244,254029.0
